X1,X1,cluster,status
892,892,0,1
895,895,0,1
897,897,0,1
898,898,1,1
899,899,0,1
901,901,0,1
903,903,1,1
904,904,1,1
905,905,1,1
906,906,1,1
907,907,1,1
908,908,0,1
911,911,0,1
912,912,1,1
913,913,0,1
914,914,1,1
915,915,0,1
916,916,1,1
917,917,1,1
918,918,0,1
919,919,0,1
920,920,1,1
921,921,0,1
922,922,0,1
924,924,0,1
925,925,1,1
926,926,0,1
927,927,0,1
928,928,0,1
929,929,1,1
930,930,0,1
931,931,1,1
932,932,1,1
933,933,1,1
934,934,0,1
935,935,1,1
936,936,1,1
938,938,0,1
939,939,1,1
940,940,0,1
941,941,1,1
942,942,0,1
943,943,1,1
944,944,0,1
945,945,0,1
946,946,1,1
947,947,1,1
949,949,0,1
951,951,0,1
952,952,1,1
953,953,0,1
954,954,0,1
955,955,0,1
956,956,1,1
958,958,0,1
959,959,1,1
961,961,1,1
962,962,0,1
964,964,1,1
966,966,0,1
968,968,1,1
969,969,0,1
970,970,1,1
971,971,0,1
972,972,1,1
973,973,1,1
974,974,0,1
975,975,1,1
976,976,1,1
978,978,0,1
980,980,0,1
981,981,0,1
982,982,0,1
983,983,1,1
984,984,0,1
985,985,1,1
986,986,0,1
987,987,1,1
988,988,1,1
990,990,0,1
991,991,0,1
992,992,1,1
993,993,1,1
994,994,0,1
995,995,0,1
998,998,0,1
999,999,1,1
1000,1000,0,1
1002,1002,1,1
1003,1003,0,1
1004,1004,1,1
1005,1005,1,1
1007,1007,1,1
1008,1008,0,1
1009,1009,0,1
1010,1010,0,1
1011,1011,1,1
1012,1012,0,1
1015,1015,0,1
1016,1016,1,1
1017,1017,0,1
1018,1018,1,1
1020,1020,0,1
1021,1021,0,1
1023,1023,1,1
1024,1024,0,1
1025,1025,0,1
1026,1026,1,1
1028,1028,0,1
1029,1029,1,1
1030,1030,1,1
1031,1031,0,1
1032,1032,0,1
1033,1033,1,1
1034,1034,0,1
1035,1035,1,1
1037,1037,0,1
1038,1038,1,1
1039,1039,1,1
1040,1040,1,1
1041,1041,1,1
1042,1042,1,1
1043,1043,1,1
1044,1044,0,1
1045,1045,0,1
1048,1048,0,1
1049,1049,0,1
1050,1050,0,1
1053,1053,1,1
1054,1054,1,1
1056,1056,1,1
1058,1058,0,1
1059,1059,1,1
1060,1060,0,1
1061,1061,1,1
1063,1063,0,1
1064,1064,0,1
1065,1065,0,1
1066,1066,1,1
1067,1067,0,1
1068,1068,1,1
1070,1070,1,1
1071,1071,0,1
1073,1073,1,1
1074,1074,0,1
1078,1078,0,1
1079,1079,0,1
1082,1082,0,1
1083,1083,1,1
1084,1084,0,1
1085,1085,0,1
1086,1086,1,1
1087,1087,1,1
1088,1088,1,1
1089,1089,1,1
1090,1090,0,1
1091,1091,1,1
1093,1093,1,1
1094,1094,1,1
1095,1095,0,1
1096,1096,1,1
1097,1097,1,1
1098,1098,1,1
1099,1099,1,1
1100,1100,0,1
1102,1102,0,1
1103,1103,0,1
1104,1104,0,1
1105,1105,1,1
1109,1109,1,1
1110,1110,0,1
1114,1114,0,1
1116,1116,1,1
1117,1117,0,1
1119,1119,0,1
1120,1120,1,1
1121,1121,0,1
1122,1122,1,1
1123,1123,0,1
1124,1124,1,1
1125,1125,0,1
1127,1127,1,1
1128,1128,1,1
1131,1131,0,1
1132,1132,0,1
1133,1133,1,1
1136,1136,1,1
1137,1137,1,1
1139,1139,0,1
1140,1140,1,1
1141,1141,1,1
1142,1142,0,1
1143,1143,0,1
1144,1144,0,1
1145,1145,0,1
1146,1146,0,1
1147,1147,1,1
1148,1148,1,1
1149,1149,1,1
1150,1150,0,1
1151,1151,1,1
1153,1153,0,1
1154,1154,1,1
1155,1155,0,1
1156,1156,1,1
1157,1157,0,1
1159,1159,1,1
1161,1161,0,1
1163,1163,0,1
1164,1164,0,1
1165,1165,0,1
1166,1166,1,1
1169,1169,0,1
1171,1171,1,1
1172,1172,0,1
1173,1173,1,1
1174,1174,0,1
1175,1175,1,1
1177,1177,1,1
1178,1178,1,1
1179,1179,0,1
1180,1180,0,1
1181,1181,1,1
1183,1183,0,1
1184,1184,1,1
1186,1186,1,1
1187,1187,0,1
1190,1190,0,1
1191,1191,0,1
1192,1192,0,1
1194,1194,0,1
1195,1195,0,1
1196,1196,0,1
1197,1197,0,1
1200,1200,1,1
1201,1201,0,1
1203,1203,1,1
1204,1204,1,1
1206,1206,0,1
1207,1207,0,1
1208,1208,0,1
1209,1209,0,1
1212,1212,0,1
1214,1214,1,1
1215,1215,1,1
1216,1216,1,1
1217,1217,0,1
1218,1218,1,1
1219,1219,1,1
1220,1220,0,1
1222,1222,1,1
1223,1223,0,1
1224,1224,0,1
1227,1227,1,1
1230,1230,1,1
1232,1232,1,1
1233,1233,0,1
1234,1234,1,1
1235,1235,1,1
1236,1236,1,1
1237,1237,0,1
1239,1239,1,1
1240,1240,1,1
1241,1241,1,1
1242,1242,0,1
1243,1243,1,1
1244,1244,0,1
1246,1246,1,1
1247,1247,1,1
1248,1248,1,1
1251,1251,1,1
1252,1252,0,1
1253,1253,1,1
1254,1254,0,1
1256,1256,0,1
1260,1260,1,1
1261,1261,1,1
1263,1263,1,1
1264,1264,1,1
1265,1265,0,1
1266,1266,0,1
1267,1267,1,1
1268,1268,1,1
1269,1269,0,1
1270,1270,0,1
1271,1271,0,1
1272,1272,1,1
1273,1273,1,1
1274,1274,1,1
1275,1275,0,1
1276,1276,0,1
1277,1277,1,1
1279,1279,0,1
1280,1280,1,1
1281,1281,0,1
1282,1282,0,1
1283,1283,1,1
1285,1285,0,1
