X1,status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
17218,0,13.22,5.19,1.08,1.29,0.27,1.13,1.92,0.04,0.15,0.46,0.46,0.52,2.08,0.09,0.09,0,0,1,0,227,177,0,315,4771
17219,0,0.34,0,3.93,0.74,0.74,0.99,21.07,0,0,0.03,0.03,0.05,110.46,0.14,0.14,0,0,1,0,0,290,92,304,4120
17220,0,-28.89,-8.54,0.97,0.33,0.32,0.27,-5.16,-0.07,-2.43,1.35,1.34,-0.19,0.13,0,0,1,1,1,1,1,115,0,251,5610
17221,0,0.93,0.22,2.08,1.16,1.03,1.1,-16.31,-0.19,-0.39,0.79,0.79,-0.06,-13.14,-0.19,-0.19,1,1,1,1,21,35,118,313,4321
17222,0,1.64,0,1.61,5.78,2.22,2.16,-4.68,-0.03,-0.1,0.22,0.22,-0.21,-3.2,-0.1,-0.1,1,1,1,1,595,69,296,313,2370
17223,0,-41.2,-6.75,0.98,1.05,0.56,2.1,-2.87,-0.05,-1.75,0.27,0.25,-0.35,-2.05,-0.14,-0.15,1,1,1,1,608,280,431,238,2312
17224,0,1.69,0,1.59,1.54,1.11,10.04,31.92,0.08,0.17,2.95,2.68,0.03,38.09,0.03,0.04,0,0,1,0,33,71,13,311,4759
17226,0,2.27,0,1.44,1.24,1.24,1.45,3.54,0.01,0.02,0.49,0.47,0.28,13.52,0.11,0.12,0,0,1,0,0,0,216,310,7490
17227,0,3.29,0,1.3,1.41,1.41,11.87,-13.66,-0.08,-0.36,1.32,1.19,-0.07,-12.76,-0.05,-0.06,1,1,1,1,0,0,105,310,4730
17228,0,78.55,0,1.01,3.9,3.86,11.08,1.46,0.02,0.17,0.63,0.61,0.69,3.06,0.06,0.07,0,0,1,0,5,85,57,310,5510
17229,0,14.45,0,1.07,1.04,0.5,1.06,2.58,0.01,0.03,0.41,0.28,0.39,2.96,0.04,0.06,0,0,1,0,278,4,147,307,2680
17230,0,33.2,0,1.03,0.82,0.82,0.14,-8.64,-0.08,-4.18,0.49,0.36,-0.38,-7.86,-0.5,-0.68,1,1,0,1,0,0,188,306,6820
17232,0,4.53,1.65,1.22,1.35,1.2,5.33,1.59,0.03,0.07,0.47,0.37,0.63,2.98,0.14,0.18,0,0,1,0,80,109,176,296,4645
17233,0,5.21,0.83,1.19,1.33,0.57,1.19,3.8,0.03,0.04,0.4,0.32,0.26,13.76,0.24,0.31,0,0,1,0,227,108,106,296,4647
17235,0,1.98,0.88,1.51,2.47,2.47,1.9,-4.38,-0.07,-0.21,0.92,0.76,-0.23,0.71,0.01,0.01,1,1,1,1,0,52,210,293,1071
17236,0,-20.48,0,0.95,0.95,0.61,-12.59,-5.23,-0.13,-3.13,1.5,1.14,-0.19,-5.12,-0.09,-0.12,1,1,1,1,86,0,0,302,6810
17237,0,1.74,0,1.58,1.37,1.37,2.49,298.44,0.18,0.32,0.91,0.91,0,349.8,0.23,0.23,0,0,1,0,0,0,0,301,4120
17238,0,3.28,0.78,1.3,1.99,1.99,19.09,1.02,0.02,-0.05,0.7,0.7,0.98,2.05,0.06,0.06,0,0,1,1,0,117,232,230,4321
17239,0,26.09,7.63,1.04,0.61,0.36,0.19,-0.07,0.03,-0.2,0.19,0.15,1.16,0.1,0.02,0.03,1,1,1,1,446,176,149,290,3100
17240,0,15.34,0,1.07,0.79,0.21,0.37,8.74,0.01,-0.07,0.13,0.11,0.11,23.39,0.24,0.29,0,0,1,1,1405,0,0,289,4120
17241,0,1.73,0.34,1.58,1.53,1.53,12.51,7.56,0.03,0.03,0.36,0.46,0.13,13.17,0.13,0.1,0,0,1,0,4,406,0,298,4120
17242,0,7.21,0,1.14,1.2,1.19,1.73,1.8,0.06,0.07,1.2,1.2,0.56,3.39,0.09,0.09,0,0,1,0,2,0,0,298,4120
