X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
7573,5.33,0.17,1.19,1.79,1.28,88.47,0.05,0.08,0.48,2.4,0.03,0,57,63,52,1767,53.01,-7437.59354918438,0.018864365214110546,0
7574,0.94,0.0,2.06,2.01,1.94,22.32,0.26,0.33,0.05,22.74,0.06,0,3,0,0,1767,106.02,1.0,0.009432182607055273,0
7575,142.29,1.27,1.01,1.0,0.33,1.5,0.03,0.54,0.8,1.35,0.04,0,302,76,20,2631,105.24000000000001,-8445.072687300226,0.009502090459901177,0
7576,2.76,1.28,1.36,2.84,2.07,9.9,0.06,0.14,0.18,9.31,0.11,0,106,39,189,1766,194.26,-534.1308088235294,0.005147740142077628,0
7577,1.5,0.0,1.67,1.51,0.76,1.73,0.01,0.01,0.3,5.99,0.03,0,155,0,0,1765,52.949999999999996,1.0,0.018885741265344667,0
7578,0.42,0.12,3.37,2.23,2.23,1.35,0.05,0.06,0.03,97.52,0.37,0,0,75,89,1764,652.68,-1024.3617173590503,0.0015321443892872466,0
7579,5.53,0.0,1.18,1.08,1.08,1.38,0.12,0.41,0.22,5.54,0.08,0,0,0,0,1764,141.12,1.0,0.007086167800453514,0
7581,5.89,0.0,1.17,1.09,0.65,1.23,0.09,0.27,0.27,5.47,0.1,0,76,0,0,1763,176.3,1.0,0.005672149744753261,0
7582,29.06,5.21,1.03,1.28,1.24,17.17,0.03,0.07,0.11,11.13,0.01,0,4,61,65,1762,17.62,-1788.4677703445577,0.056753688989784334,0
7583,3.31,0.0,1.3,1.19,0.94,2.1,0.05,0.18,0.07,20.22,0.02,0,24,86,50,1762,35.24,-1.0,0.028376844494892167,0
7585,7.71,0.0,1.13,1.29,1.04,4.05,0.05,0.09,0.48,2.6,0.06,0,66,0,182,1761,105.66,-1.0,0.00946431951542684,0
7586,12.78,0.0,1.08,1.88,1.88,8.76,0.02,-0.26,0.01,297.95,0.03,1,0,0,0,1761,52.83,1.0,0.01892863903085368,0
7587,4.46,0.33,1.22,1.65,1.65,5.64,0.05,0.24,0.03,78.4,0.05,0,0,66,114,1761,88.05000000000001,-5487.259314456036,0.011357183418512207,0
7589,2.14,0.0,1.47,0.77,0.73,0.74,0.04,0.08,0.22,8.55,0.07,0,7,0,0,1759,123.13000000000001,1.0,0.008121497604158206,0
7590,1.06,0.0,1.94,2.8,2.7,26.82,0.09,0.13,0.04,29.13,0.07,0,9,72,131,1758,123.06000000000002,-1.0,0.008126117341134404,0
7591,0.45,0.0,3.24,1.39,1.16,1.2,0.01,0.0,0.12,47.78,0.08,0,55,189,176,1757,140.56,-1.0,0.0,0
7592,2.78,0.72,1.36,3.28,3.23,10.96,0.32,0.84,0.02,71.25,0.23,0,4,50,7,1757,404.11,-427.2357352941176,0.002474573754670758,0
7593,4.26,2.52,1.23,3.09,0.8,35.14,0.01,0.03,0.23,5.88,0.04,0,615,156,176,1755,70.2,-292.7394657375145,0.014245014245014245,0
7594,6.96,0.0,1.14,1.21,1.14,7.62,0.09,0.46,0.07,16.0,0.07,0,17,0,185,1754,122.78000000000002,-1.0,0.00814464896562958,0
7595,0.58,0.0,2.71,1.09,1.09,1.04,0.04,0.04,0.08,62.34,0.31,0,0,0,0,1754,543.74,1.0,0.0018391142825615184,0
7596,5.63,0.0,1.18,1.4,1.38,2.07,0.11,0.45,0.04,35.2,0.07,0,2,0,0,1753,122.71000000000001,1.0,0.008149295085975063,0
7598,37.87,2.6,1.03,1.08,0.62,24.45,0.01,0.1,0.13,7.18,0.01,0,105,165,128,1753,17.53,-6248.224771844661,0.0,0
